TableID,Capacity,Location,Status,LastUsedTime
T02,2,Bar Area,Cleaning,14-07-2025 12:28
T18,4,Patio,Reserved,07-07-2025 16:55
T09,6,Bar Area,Reserved,09-07-2025 17:07
T08,2,Center,Occupied,13-07-2025 09:20
T09,6,Window Right,Reserved,08-07-2025 19:19
T14,2,Corner Back,Cleaning,14-07-2025 03:15
T11,6,Window Right,Cleaning,11-07-2025 08:00
T10,4,Balcony,Available,12-07-2025 23:26
T01,2,Bar Area,Available,11-07-2025 18:51
T18,4,Corner Back,Available,11-07-2025 23:21
T12,8,Corner Back,Cleaning,13-07-2025 00:43
T16,2,Window Left,Available,11-07-2025 19:19
T12,8,Window Right,Cleaning,12-07-2025 12:16
T12,6,Window Left,Reserved,11-07-2025 20:54
T13,6,Balcony,Available,12-07-2025 22:10
T03,2,Bar Area,Reserved,08-07-2025 12:57
T16,8,Balcony,Occupied,10-07-2025 21:56
T16,4,Window Left,Reserved,09-07-2025 23:04
T07,4,Window Left,Reserved,14-07-2025 04:38
T02,2,Bar Area,Reserved,11-07-2025 07:57
T18,6,Bar Area,Reserved,08-07-2025 10:18
T18,8,Garden View,Occupied,11-07-2025 04:16
T15,8,Garden View,Occupied,10-07-2025 01:51
T08,4,Center,Occupied,11-07-2025 07:03
T17,4,Garden View,Occupied,08-07-2025 01:41
T16,4,Garden View,Cleaning,12-07-2025 20:32
T19,6,Corner Back,Reserved,10-07-2025 18:40
T08,8,Window Right,Cleaning,12-07-2025 02:23
T03,2,Bar Area,Occupied,09-07-2025 05:21
T02,2,Bar Area,Available,11-07-2025 15:19
T11,8,Window Left,Cleaning,09-07-2025 04:47
T04,2,Balcony,Reserved,08-07-2025 21:03
T03,2,Bar Area,Occupied,14-07-2025 09:19
T09,8,Window Left,Available,07-07-2025 16:27
T15,8,Window Left,Occupied,11-07-2025 05:49
T19,8,Bar Area,Cleaning,12-07-2025 05:31
T12,6,Patio,Available,13-07-2025 00:24
T02,2,Bar Area,Available,09-07-2025 23:19
T17,8,Garden View,Cleaning,13-07-2025 20:14
T07,4,Window Left,Occupied,12-07-2025 12:47
T09,2,Patio,Cleaning,12-07-2025 06:00
T16,8,Bar Area,Occupied,10-07-2025 14:34
T11,4,Balcony,Available,09-07-2025 10:14
T19,8,Window Right,Available,09-07-2025 07:25
T02,2,Bar Area,Available,09-07-2025 02:23
T09,4,Window Right,Occupied,13-07-2025 12:43
T07,4,Window Left,Cleaning,08-07-2025 06:03
T14,8,Center,Occupied,13-07-2025 03:18
T12,4,Corner Back,Cleaning,12-07-2025 03:20
T17,2,Window Right,Available,11-07-2025 21:58
T12,4,Bar Area,Available,14-07-2025 01:46
T05,2,Balcony,Cleaning,13-07-2025 23:38
T12,6,Window Right,Cleaning,13-07-2025 08:40
T11,4,Bar Area,Cleaning,14-07-2025 01:01
T09,2,Window Left,Cleaning,07-07-2025 13:59
T10,4,Bar Area,Cleaning,13-07-2025 13:14
T12,8,Patio,Available,12-07-2025 06:56
T19,4,Balcony,Occupied,13-07-2025 02:29
T13,8,Window Right,Reserved,11-07-2025 06:46
T14,2,Patio,Reserved,07-07-2025 23:41
T08,4,Bar Area,Available,10-07-2025 13:49
T13,6,Center,Cleaning,08-07-2025 01:34
T06,2,Garden View,Cleaning,12-07-2025 11:32
T05,2,Balcony,Occupied,09-07-2025 09:13
T14,2,Balcony,Available,09-07-2025 13:40
T15,4,Corner Back,Available,11-07-2025 14:48
T11,8,Balcony,Reserved,13-07-2025 00:57
T10,4,Bar Area,Reserved,13-07-2025 18:57
T16,6,Corner Back,Occupied,13-07-2025 07:55
T06,2,Garden View,Available,07-07-2025 21:46
T11,6,Balcony,Reserved,14-07-2025 07:26
T10,8,Balcony,Occupied,09-07-2025 00:01
T16,4,Corner Back,Cleaning,10-07-2025 02:18
T10,6,Patio,Cleaning,07-07-2025 18:39
T07,4,Window Left,Available,10-07-2025 18:28
T18,4,Garden View,Available,13-07-2025 22:45
T02,2,Bar Area,Available,13-07-2025 06:12
T04,2,Balcony,Reserved,09-07-2025 00:41
T19,2,Balcony,Occupied,08-07-2025 05:31
T01,2,Bar Area,Cleaning,07-07-2025 21:08
T16,6,Balcony,Occupied,10-07-2025 18:52
T08,4,Window Left,Available,09-07-2025 23:36
T04,2,Balcony,Available,11-07-2025 05:54
T11,6,Corner Back,Available,12-07-2025 04:16
T11,8,Corner Back,Available,10-07-2025 22:01
T14,2,Balcony,Available,10-07-2025 07:26
T13,2,Window Left,Cleaning,13-07-2025 06:49
T07,4,Window Left,Available,08-07-2025 18:33
T17,2,Garden View,Available,12-07-2025 04:59
T11,2,Window Right,Cleaning,14-07-2025 12:24
T04,2,Balcony,Available,09-07-2025 12:29
T07,4,Window Left,Occupied,11-07-2025 00:06
T10,8,Center,Occupied,07-07-2025 20:17
T15,4,Window Left,Cleaning,08-07-2025 17:35
T17,6,Garden View,Cleaning,11-07-2025 08:33
T14,2,Corner Back,Available,10-07-2025 13:42
T11,4,Window Right,Cleaning,11-07-2025 01:27
T03,2,Bar Area,Available,09-07-2025 13:49
T12,2,Window Left,Cleaning,07-07-2025 21:37
T16,8,Garden View,Available,11-07-2025 05:23
T08,2,Center,Reserved,12-07-2025 12:46
T19,8,Window Left,Cleaning,12-07-2025 20:37
T01,2,Bar Area,Available,13-07-2025 16:33
T04,2,Balcony,Available,07-07-2025 23:45
T18,6,Center,Cleaning,12-07-2025 11:55
T13,4,Corner Back,Occupied,13-07-2025 07:40
T12,6,Balcony,Available,11-07-2025 00:34
T06,2,Garden View,Available,10-07-2025 20:46
T09,6,Balcony,Occupied,09-07-2025 09:04
T09,4,Bar Area,Cleaning,14-07-2025 06:45
T03,2,Bar Area,Reserved,10-07-2025 16:16
T13,6,Window Right,Cleaning,13-07-2025 23:09
T17,6,Bar Area,Occupied,14-07-2025 12:36
T09,6,Center,Available,11-07-2025 15:12
T11,4,Balcony,Reserved,12-07-2025 17:42
T09,8,Window Left,Available,13-07-2025 21:30
T06,2,Garden View,Cleaning,07-07-2025 13:06
T15,4,Patio,Available,08-07-2025 20:34
T02,2,Bar Area,Occupied,13-07-2025 17:37
T14,4,Garden View,Occupied,12-07-2025 18:03
T05,2,Balcony,Available,09-07-2025 08:11
T20,6,Patio,Occupied,09-07-2025 15:29
T19,8,Corner Back,Available,13-07-2025 10:05
T16,4,Patio,Available,14-07-2025 03:23
T10,2,Bar Area,Available,09-07-2025 00:32
T11,2,Balcony,Reserved,13-07-2025 05:32
T10,6,Center,Available,11-07-2025 16:22
T09,8,Corner Back,Cleaning,09-07-2025 00:47
T11,8,Window Left,Available,10-07-2025 04:17
T12,6,Garden View,Available,13-07-2025 15:47
T06,2,Garden View,Occupied,13-07-2025 22:24
T08,2,Patio,Cleaning,07-07-2025 13:39
T09,8,Balcony,Available,10-07-2025 18:44
T08,6,Window Left,Cleaning,09-07-2025 23:04
T11,2,Balcony,Reserved,10-07-2025 05:53
T07,4,Window Left,Available,13-07-2025 03:22
T17,6,Window Left,Reserved,11-07-2025 03:38
T19,4,Center,Cleaning,09-07-2025 17:57
T09,8,Garden View,Available,12-07-2025 13:49
T02,2,Bar Area,Cleaning,09-07-2025 05:09
T17,8,Corner Back,Cleaning,09-07-2025 20:45
T13,6,Window Right,Reserved,10-07-2025 08:25
T13,2,Corner Back,Cleaning,07-07-2025 19:14
T17,2,Window Left,Available,08-07-2025 19:43
T18,2,Garden View,Available,12-07-2025 07:39
T01,2,Bar Area,Available,13-07-2025 21:31
T18,4,Window Left,Cleaning,14-07-2025 05:22
T17,4,Balcony,Occupied,10-07-2025 10:05
T11,8,Balcony,Cleaning,08-07-2025 22:50
T09,8,Corner Back,Cleaning,11-07-2025 16:16
T06,2,Garden View,Reserved,08-07-2025 18:09
T09,4,Bar Area,Reserved,10-07-2025 22:50
T17,4,Corner Back,Cleaning,13-07-2025 09:17
T05,2,Balcony,Available,09-07-2025 20:47
T19,2,Garden View,Available,10-07-2025 04:48
T04,2,Balcony,Cleaning,09-07-2025 21:20
T18,4,Patio,Occupied,10-07-2025 23:23
T10,6,Bar Area,Available,13-07-2025 04:57
T19,4,Bar Area,Occupied,08-07-2025 20:02
T19,2,Window Right,Reserved,10-07-2025 07:20
T10,4,Bar Area,Occupied,08-07-2025 00:25
T19,8,Balcony,Available,11-07-2025 10:15
T01,2,Bar Area,Available,11-07-2025 13:37
T01,2,Bar Area,Cleaning,13-07-2025 11:11
T07,4,Window Left,Occupied,13-07-2025 11:45
T06,2,Garden View,Available,13-07-2025 04:46
T13,6,Corner Back,Available,13-07-2025 10:39
T14,6,Corner Back,Occupied,13-07-2025 00:33
T01,2,Bar Area,Cleaning,12-07-2025 15:41
T20,4,Bar Area,Reserved,09-07-2025 09:55
T06,2,Garden View,Reserved,10-07-2025 19:41
T02,2,Bar Area,Cleaning,10-07-2025 21:55
T17,8,Bar Area,Reserved,13-07-2025 15:36
T20,8,Bar Area,Available,11-07-2025 19:55
T16,4,Bar Area,Available,12-07-2025 22:07
T04,2,Balcony,Reserved,09-07-2025 02:27
T02,2,Bar Area,Available,13-07-2025 03:55
T19,4,Window Right,Reserved,08-07-2025 05:39
T12,4,Garden View,Occupied,11-07-2025 11:46
T16,4,Patio,Reserved,12-07-2025 05:23
T15,6,Patio,Occupied,07-07-2025 19:57
T20,6,Balcony,Reserved,13-07-2025 19:31
T07,4,Window Left,Available,08-07-2025 08:49
T13,6,Balcony,Occupied,07-07-2025 22:30
T10,4,Bar Area,Occupied,08-07-2025 01:45
T01,2,Bar Area,Cleaning,07-07-2025 18:51
T10,2,Window Right,Reserved,08-07-2025 00:00
T02,2,Bar Area,Occupied,12-07-2025 21:38
T09,8,Window Right,Reserved,11-07-2025 23:20
T02,2,Bar Area,Occupied,13-07-2025 05:16
T13,6,Window Right,Reserved,09-07-2025 03:41
T09,8,Center,Available,09-07-2025 18:27
T02,2,Bar Area,Occupied,14-07-2025 10:45
T09,4,Corner Back,Occupied,13-07-2025 13:06
T07,4,Window Left,Available,12-07-2025 13:37
T03,2,Bar Area,Cleaning,08-07-2025 10:36
T07,4,Window Left,Occupied,09-07-2025 04:47
T09,2,Center,Available,08-07-2025 10:07
T07,4,Window Left,Available,08-07-2025 07:49
T08,4,Window Left,Cleaning,14-07-2025 12:35
T07,4,Window Left,Cleaning,11-07-2025 19:27
T05,2,Balcony,Available,13-07-2025 20:30
T07,4,Window Left,Reserved,12-07-2025 21:18
T06,2,Garden View,Available,12-07-2025 17:36
T03,2,Bar Area,Occupied,09-07-2025 16:49
T13,2,Patio,Available,12-07-2025 19:45
T01,2,Bar Area,Reserved,08-07-2025 22:38
T16,8,Patio,Cleaning,13-07-2025 13:15
T16,2,Patio,Available,09-07-2025 14:43
T15,6,Window Left,Cleaning,10-07-2025 22:31
T15,2,Center,Available,13-07-2025 19:34
T02,2,Bar Area,Occupied,07-07-2025 20:27
T19,2,Window Right,Occupied,13-07-2025 06:44
T01,2,Bar Area,Reserved,12-07-2025 20:33
T06,2,Garden View,Reserved,11-07-2025 19:31
T04,2,Balcony,Occupied,11-07-2025 18:00
T05,2,Balcony,Occupied,13-07-2025 18:17
T18,6,Center,Cleaning,12-07-2025 20:35
T07,4,Window Left,Available,10-07-2025 02:18
T18,2,Bar Area,Reserved,11-07-2025 16:35
T08,6,Window Right,Cleaning,14-07-2025 07:59
T17,2,Patio,Reserved,10-07-2025 01:47
T14,8,Window Left,Occupied,07-07-2025 19:41
T05,2,Balcony,Occupied,11-07-2025 23:42
T12,4,Center,Cleaning,11-07-2025 17:12
T14,8,Window Right,Available,12-07-2025 18:54
T17,6,Corner Back,Occupied,08-07-2025 02:42
T08,2,Window Right,Cleaning,12-07-2025 09:54
T13,8,Bar Area,Occupied,11-07-2025 21:14
T14,8,Window Left,Reserved,07-07-2025 13:08
T06,2,Garden View,Available,07-07-2025 21:12
T03,2,Bar Area,Cleaning,09-07-2025 01:20
T12,2,Balcony,Occupied,09-07-2025 14:52
T19,8,Center,Occupied,13-07-2025 08:16
T09,6,Balcony,Occupied,11-07-2025 16:14
T08,4,Window Right,Reserved,07-07-2025 16:06
T01,2,Bar Area,Cleaning,07-07-2025 19:38
T08,2,Bar Area,Cleaning,12-07-2025 23:25
T07,4,Window Left,Cleaning,13-07-2025 10:13
T11,4,Center,Available,14-07-2025 01:26
T05,2,Balcony,Available,14-07-2025 00:25
T20,2,Center,Reserved,09-07-2025 22:27
T03,2,Bar Area,Reserved,07-07-2025 21:26
T14,8,Patio,Occupied,07-07-2025 21:31
T14,4,Garden View,Occupied,12-07-2025 23:38
T19,6,Center,Available,10-07-2025 12:16
T09,2,Bar Area,Available,09-07-2025 02:56
T14,8,Garden View,Cleaning,09-07-2025 20:35
T07,4,Window Left,Reserved,09-07-2025 01:38
T17,2,Balcony,Occupied,13-07-2025 16:47
T18,2,Corner Back,Available,12-07-2025 19:12
T08,4,Center,Cleaning,11-07-2025 16:04
T11,2,Garden View,Cleaning,08-07-2025 15:36
T20,2,Bar Area,Cleaning,07-07-2025 15:41
T13,6,Center,Reserved,12-07-2025 09:48
T15,2,Window Right,Occupied,08-07-2025 08:52
T14,4,Garden View,Reserved,13-07-2025 14:20
T04,2,Balcony,Available,13-07-2025 21:25
T12,4,Window Right,Reserved,10-07-2025 19:12
T07,4,Window Left,Available,08-07-2025 12:24
T19,2,Garden View,Reserved,10-07-2025 01:52
T08,4,Balcony,Available,13-07-2025 00:26
T17,8,Window Right,Available,10-07-2025 22:45
T18,6,Bar Area,Occupied,12-07-2025 08:55
T07,4,Window Left,Cleaning,10-07-2025 15:33
T11,8,Corner Back,Reserved,09-07-2025 22:22
T05,2,Balcony,Reserved,13-07-2025 10:03
T08,2,Corner Back,Available,12-07-2025 15:08
T01,2,Bar Area,Occupied,13-07-2025 23:36
T05,2,Balcony,Occupied,11-07-2025 05:12
T16,6,Bar Area,Cleaning,09-07-2025 02:32
T16,6,Window Right,Occupied,14-07-2025 01:24
T13,8,Window Left,Occupied,08-07-2025 04:05
T02,2,Bar Area,Cleaning,13-07-2025 17:12
T10,4,Garden View,Occupied,14-07-2025 05:34
T06,2,Garden View,Cleaning,09-07-2025 02:27
T17,8,Patio,Cleaning,08-07-2025 17:53
T06,2,Garden View,Occupied,10-07-2025 04:09
T20,8,Bar Area,Available,10-07-2025 19:49
T06,2,Garden View,Reserved,11-07-2025 03:54
T06,2,Garden View,Occupied,10-07-2025 13:09
T12,4,Window Right,Cleaning,09-07-2025 19:29
T13,4,Patio,Cleaning,10-07-2025 04:39
T19,8,Corner Back,Reserved,11-07-2025 17:19
T08,2,Patio,Available,10-07-2025 20:32
T01,2,Bar Area,Reserved,13-07-2025 12:13
T11,4,Corner Back,Available,09-07-2025 07:46
T19,2,Center,Cleaning,09-07-2025 17:14
T14,8,Bar Area,Occupied,10-07-2025 00:07
T06,2,Garden View,Reserved,09-07-2025 15:50
T01,2,Bar Area,Cleaning,10-07-2025 06:28
T18,6,Window Left,Cleaning,09-07-2025 20:46
T08,8,Window Left,Cleaning,10-07-2025 17:46
T11,8,Patio,Occupied,14-07-2025 06:12
T07,4,Window Left,Reserved,08-07-2025 23:08
T07,4,Window Left,Available,12-07-2025 10:09
T04,2,Balcony,Available,09-07-2025 17:38
T13,6,Patio,Occupied,10-07-2025 11:34
T16,8,Center,Reserved,13-07-2025 01:37
T14,2,Garden View,Reserved,08-07-2025 22:31
T19,8,Balcony,Cleaning,13-07-2025 20:52
T06,2,Garden View,Occupied,09-07-2025 04:20
T11,2,Patio,Reserved,08-07-2025 10:33
T17,8,Corner Back,Cleaning,07-07-2025 16:56
T19,8,Center,Occupied,12-07-2025 01:06
T14,8,Corner Back,Reserved,09-07-2025 16:59
T04,2,Balcony,Reserved,10-07-2025 10:26
T19,8,Corner Back,Available,10-07-2025 01:01
T05,2,Balcony,Reserved,07-07-2025 20:43
T08,2,Window Right,Cleaning,07-07-2025 19:15
T15,4,Balcony,Available,07-07-2025 17:45
T06,2,Garden View,Cleaning,10-07-2025 09:36
T15,6,Window Right,Occupied,11-07-2025 17:50
T16,4,Window Right,Occupied,10-07-2025 22:58
T15,8,Balcony,Cleaning,09-07-2025 05:00
T18,2,Window Right,Available,09-07-2025 23:32
T13,4,Window Left,Available,13-07-2025 06:11
T10,4,Corner Back,Reserved,10-07-2025 01:40
T11,2,Corner Back,Available,11-07-2025 17:36
T09,6,Garden View,Reserved,09-07-2025 00:20
T18,6,Patio,Occupied,13-07-2025 21:12
T14,4,Window Right,Available,09-07-2025 03:59
T12,4,Window Left,Occupied,08-07-2025 15:18
T18,2,Window Right,Occupied,13-07-2025 13:31
T13,2,Balcony,Occupied,11-07-2025 04:05
T06,2,Garden View,Cleaning,12-07-2025 21:59
T10,2,Patio,Cleaning,14-07-2025 11:41
T18,6,Patio,Reserved,10-07-2025 13:21
T18,6,Center,Cleaning,07-07-2025 14:27
T15,4,Window Left,Available,08-07-2025 21:26
T17,6,Patio,Occupied,08-07-2025 06:49
T14,2,Center,Cleaning,11-07-2025 02:32
T11,8,Center,Reserved,08-07-2025 05:11
T10,8,Corner Back,Available,08-07-2025 21:45
T16,4,Corner Back,Occupied,13-07-2025 16:57
T17,6,Garden View,Reserved,10-07-2025 09:21
T03,2,Bar Area,Reserved,12-07-2025 21:27
T05,2,Balcony,Cleaning,12-07-2025 08:38
T04,2,Balcony,Cleaning,08-07-2025 12:37
T05,2,Balcony,Cleaning,12-07-2025 23:52
T05,2,Balcony,Reserved,08-07-2025 23:51
T18,4,Window Right,Available,12-07-2025 06:08
T14,4,Center,Available,13-07-2025 16:18
T02,2,Bar Area,Cleaning,07-07-2025 21:14
T09,6,Bar Area,Reserved,08-07-2025 03:09
T08,2,Garden View,Available,10-07-2025 21:14
T13,4,Garden View,Occupied,10-07-2025 23:14
T20,2,Center,Cleaning,12-07-2025 06:30
T10,6,Window Left,Occupied,10-07-2025 14:44
T03,2,Bar Area,Available,08-07-2025 11:27
T02,2,Bar Area,Available,11-07-2025 18:41
T01,2,Bar Area,Reserved,13-07-2025 00:11
T19,8,Corner Back,Occupied,11-07-2025 00:57
T09,2,Window Left,Cleaning,07-07-2025 23:59
T06,2,Garden View,Occupied,12-07-2025 10:16
T12,4,Window Right,Reserved,11-07-2025 05:21
T20,8,Balcony,Occupied,13-07-2025 05:55
T19,4,Patio,Cleaning,08-07-2025 00:15
T01,2,Bar Area,Cleaning,09-07-2025 10:15
T09,4,Corner Back,Cleaning,10-07-2025 08:39
T20,2,Balcony,Occupied,13-07-2025 03:09
T16,4,Garden View,Cleaning,10-07-2025 00:44
T17,8,Center,Available,08-07-2025 17:48
T01,2,Bar Area,Occupied,08-07-2025 10:33
T07,4,Window Left,Cleaning,10-07-2025 01:34
T17,4,Balcony,Available,08-07-2025 04:46
T10,2,Bar Area,Occupied,13-07-2025 04:27
T20,4,Garden View,Available,08-07-2025 01:35
T19,8,Garden View,Available,12-07-2025 12:09
T17,2,Corner Back,Available,14-07-2025 05:56
T01,2,Bar Area,Reserved,12-07-2025 19:52
T02,2,Bar Area,Available,13-07-2025 08:20
T15,6,Corner Back,Occupied,10-07-2025 20:51
T16,2,Window Right,Reserved,08-07-2025 21:28
T03,2,Bar Area,Occupied,13-07-2025 19:28
T07,4,Window Left,Available,09-07-2025 21:57
T06,2,Garden View,Cleaning,13-07-2025 14:12
T10,6,Balcony,Cleaning,08-07-2025 13:50
T05,2,Balcony,Occupied,11-07-2025 17:31
T14,2,Patio,Reserved,08-07-2025 21:43
T05,2,Balcony,Occupied,10-07-2025 00:16
T18,2,Center,Occupied,12-07-2025 10:06
T07,4,Window Left,Cleaning,10-07-2025 19:30
T08,6,Garden View,Cleaning,12-07-2025 06:08
T14,8,Balcony,Cleaning,14-07-2025 08:35
T06,2,Garden View,Occupied,10-07-2025 22:31
T16,4,Balcony,Reserved,11-07-2025 19:31
T10,8,Bar Area,Reserved,09-07-2025 13:58
T13,2,Corner Back,Reserved,07-07-2025 18:45
T11,6,Center,Cleaning,09-07-2025 08:32
T18,8,Bar Area,Cleaning,14-07-2025 02:35
T14,4,Bar Area,Reserved,11-07-2025 05:40
T10,8,Corner Back,Reserved,07-07-2025 13:17
T16,8,Window Right,Reserved,14-07-2025 02:19
T16,2,Corner Back,Reserved,09-07-2025 07:35
T09,8,Bar Area,Cleaning,13-07-2025 20:33
T11,8,Corner Back,Reserved,11-07-2025 13:10
T20,2,Balcony,Available,08-07-2025 21:59
T14,6,Patio,Cleaning,13-07-2025 05:15
T05,2,Balcony,Cleaning,08-07-2025 21:14
T18,2,Window Right,Available,11-07-2025 08:20
T08,6,Window Left,Reserved,12-07-2025 11:06
T16,2,Balcony,Occupied,13-07-2025 15:03
T15,2,Window Left,Available,08-07-2025 12:56
T19,8,Bar Area,Cleaning,14-07-2025 06:11
T20,6,Bar Area,Cleaning,10-07-2025 10:45
T03,2,Bar Area,Reserved,08-07-2025 19:07
T18,2,Window Right,Occupied,09-07-2025 13:08
T17,2,Patio,Occupied,13-07-2025 04:12
T13,4,Garden View,Occupied,13-07-2025 12:11
T16,6,Bar Area,Cleaning,08-07-2025 06:50
T19,6,Corner Back,Reserved,13-07-2025 17:18
T04,2,Balcony,Cleaning,13-07-2025 02:12
T10,2,Center,Reserved,13-07-2025 23:41
T13,4,Center,Available,08-07-2025 12:04
T19,8,Balcony,Available,08-07-2025 11:40
T13,6,Window Left,Available,09-07-2025 00:52
T13,4,Corner Back,Cleaning,13-07-2025 06:50
T18,6,Bar Area,Available,10-07-2025 02:02
T11,2,Center,Occupied,08-07-2025 06:02
T05,2,Balcony,Occupied,13-07-2025 04:09
T18,8,Bar Area,Cleaning,11-07-2025 21:27
T11,4,Bar Area,Available,09-07-2025 08:37
T07,4,Window Left,Occupied,11-07-2025 13:45
T16,4,Bar Area,Available,08-07-2025 19:27
T02,2,Bar Area,Cleaning,12-07-2025 15:14
T13,8,Corner Back,Occupied,08-07-2025 02:52
T14,8,Bar Area,Reserved,09-07-2025 13:49
T02,2,Bar Area,Occupied,11-07-2025 23:52
T19,6,Window Left,Cleaning,09-07-2025 16:30
T15,6,Bar Area,Available,10-07-2025 19:48
T14,2,Window Right,Occupied,08-07-2025 19:44
T14,8,Corner Back,Cleaning,11-07-2025 04:30
T13,8,Balcony,Occupied,07-07-2025 20:20
T20,4,Garden View,Available,12-07-2025 03:54
T10,4,Balcony,Reserved,13-07-2025 16:08
T09,6,Window Right,Reserved,08-07-2025 00:08
T02,2,Bar Area,Cleaning,07-07-2025 22:51
T17,8,Window Left,Cleaning,11-07-2025 19:24
T01,2,Bar Area,Occupied,13-07-2025 23:11
T20,2,Bar Area,Cleaning,11-07-2025 02:32
T07,4,Window Left,Available,14-07-2025 05:40
